,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-04-30 14:14:59.999,1619784000000,4.55810000,5.88800000,4.20000000,4.80290000,723259.80000000,1619784899999,3597460.56658000,11339,394132.50000000,1970624.82564000,0
2021-04-30 14:29:59.999,1619784900000,4.80290000,4.93220000,4.79550000,4.80000000,177938.20000000,1619785799999,865523.76300000,2539,83533.50000000,405991.41257000,0
2021-04-30 14:44:59.999,1619785800000,4.79990000,4.91720000,4.72000000,4.86380000,210859.10000000,1619786699999,1022516.49599000,2135,86886.30000000,420876.73935000,0
2021-04-30 14:59:59.999,1619786700000,4.85500000,4.94600000,4.81000000,4.86400000,106510.80000000,1619787599999,516946.76761000,1564,56753.80000000,275572.09910000,0
2021-04-30 15:14:59.999,1619787600000,4.86500000,5.04590000,4.86500000,4.92480000,578792.40000000,1619788499999,2869735.54852000,4294,294749.30000000,1458790.81155000,0
2021-04-30 15:29:59.999,1619788500000,4.94340000,4.94340000,4.80000000,4.82140000,93095.80000000,1619789399999,450960.82117000,1428,37353.90000000,180993.83033000,0
2021-04-30 15:44:59.999,1619789400000,4.82140000,4.89700000,4.76300000,4.76410000,127529.20000000,1619790299999,617878.27432000,1484,65079.40000000,316014.92969000,0
2021-04-30 15:59:59.999,1619790300000,4.76510000,4.80000000,4.56480000,4.67840000,190515.50000000,1619791199999,889727.07626000,2399,84583.20000000,395055.89187000,0
2021-04-30 16:14:59.999,1619791200000,4.67950000,4.75200000,4.57710000,4.58500000,187501.80000000,1619792099999,874281.33813000,1967,95499.70000000,444357.57601000,0
2021-04-30 16:29:59.999,1619792100000,4.59080000,4.65830000,4.44230000,4.49340000,226734.70000000,1619792999999,1033289.72755000,2445,80858.70000000,370349.60890000,0
2021-04-30 16:44:59.999,1619793000000,4.49990000,4.59300000,4.32390000,4.36230000,314350.80000000,1619793899999,1410787.00287000,3085,110794.00000000,499142.57248000,0
2021-04-30 16:59:59.999,1619793900000,4.36080000,4.55000000,4.33950000,4.54990000,248806.90000000,1619794799999,1115232.56893000,2656,106659.50000000,478414.95525000,0
2021-04-30 17:14:59.999,1619794800000,4.54980000,4.62000000,4.48520000,4.59000000,268942.80000000,1619795699999,1224022.28199000,2172,136972.00000000,624541.34933000,0
2021-04-30 17:29:59.999,1619795700000,4.59030000,4.63760000,4.56970000,4.58650000,141859.90000000,1619796599999,653390.46056000,1472,67246.40000000,309740.82817000,0
2021-04-30 17:44:59.999,1619796600000,4.58860000,4.63840000,4.40000000,4.40000000,208502.80000000,1619797499999,938723.25021000,1911,75987.80000000,342799.62106000,0
2021-04-30 17:59:59.999,1619797500000,4.41940000,4.61000000,4.36200000,4.45830000,216755.60000000,1619798399999,962915.49462000,1986,119658.80000000,533368.47888000,0
2021-04-30 18:14:59.999,1619798400000,4.45830000,4.50000000,4.38510000,4.44140000,226580.70000000,1619799299999,1003142.58032000,1615,150156.60000000,664462.16359000,0
2021-04-30 18:29:59.999,1619799300000,4.43720000,4.61000000,4.41460000,4.58000000,153868.20000000,1619800199999,698036.33913000,1698,77557.30000000,351982.21004000,0
2021-04-30 18:44:59.999,1619800200000,4.58010000,4.60790000,4.44120000,4.49950000,190556.70000000,1619801099999,859523.56381000,1632,73552.20000000,331581.96351000,0
2021-04-30 18:59:59.999,1619801100000,4.49760000,4.57590000,4.46230000,4.53050000,122768.30000000,1619801999999,556437.58609000,1160,51145.70000000,231809.58784000,0
2021-04-30 19:14:59.999,1619802000000,4.54560000,4.64670000,4.53050000,4.64670000,128587.00000000,1619802899999,588994.31077000,1431,58545.40000000,268549.94601000,0
2021-04-30 19:29:59.999,1619802900000,4.64640000,4.76000000,4.58580000,4.64640000,316499.00000000,1619803799999,1487295.13363000,3045,137168.90000000,645076.70974000,0
2021-04-30 19:44:59.999,1619803800000,4.64650000,4.69990000,4.61000000,4.67600000,132598.50000000,1619804699999,618390.61623000,1210,73538.50000000,342707.83118000,0
2021-04-30 19:59:59.999,1619804700000,4.67000000,4.68490000,4.50640000,4.52860000,141652.80000000,1619805599999,650315.60678000,1457,73785.40000000,338549.56245000,0
2021-04-30 20:14:59.999,1619805600000,4.52540000,4.57010000,4.52000000,4.56080000,60195.30000000,1619806499999,273721.66921000,869,37112.00000000,168875.73352000,0
2021-04-30 20:29:59.999,1619806500000,4.55930000,4.56950000,4.47300000,4.51180000,98885.90000000,1619807399999,446034.41335000,1076,42612.40000000,192266.61674000,0
2021-04-30 20:44:59.999,1619807400000,4.51180000,4.62960000,4.46170000,4.61800000,79796.60000000,1619808299999,364300.11257000,1313,36770.30000000,168310.40962000,0
2021-04-30 20:59:59.999,1619808300000,4.61800000,4.65420000,4.56300000,4.65420000,94261.70000000,1619809199999,435299.89123000,941,38424.90000000,177260.24727000,0
2021-04-30 21:14:59.999,1619809200000,4.65100000,4.69980000,4.61060000,4.66370000,83363.00000000,1619810099999,389717.95715000,1114,29717.00000000,138968.67531000,0
2021-04-30 21:29:59.999,1619810100000,4.65440000,4.68790000,4.57390000,4.62300000,72841.50000000,1619810999999,335705.47248000,1072,34881.10000000,160655.70879000,0
2021-04-30 21:44:59.999,1619811000000,4.62300000,4.63900000,4.55000000,4.63900000,48275.60000000,1619811899999,221691.22053000,691,21053.90000000,96649.60615000,0
2021-04-30 21:59:59.999,1619811900000,4.63900000,4.65970000,4.59040000,4.59420000,40154.90000000,1619812799999,185264.62317000,607,15483.80000000,71593.67812000,0
2021-04-30 22:14:59.999,1619812800000,4.59040000,4.59430000,4.51010000,4.53480000,35354.00000000,1619813699999,160568.38623000,560,14120.30000000,64203.54854000,0
2021-04-30 22:29:59.999,1619813700000,4.53480000,4.57000000,4.53050000,4.54160000,30449.60000000,1619814599999,138538.44907000,537,13791.90000000,62758.65245000,0
2021-04-30 22:44:59.999,1619814600000,4.55760000,4.70000000,4.53010000,4.58610000,63778.00000000,1619815499999,292075.24480000,943,42183.20000000,193608.05206000,0
2021-04-30 22:59:59.999,1619815500000,4.59970000,4.59990000,4.55900000,4.56290000,25689.50000000,1619816399999,117550.40584000,560,13490.40000000,61766.21695000,0
2021-04-30 23:14:59.999,1619816400000,4.56290000,4.61490000,4.56290000,4.59920000,51332.50000000,1619817299999,235569.00311000,602,22964.70000000,105391.75980000,0
2021-04-30 23:29:59.999,1619817300000,4.59910000,4.59910000,4.50000000,4.50000000,62353.90000000,1619818199999,283377.27092000,805,12868.80000000,58521.54303000,0
2021-04-30 23:44:59.999,1619818200000,4.50100000,4.52550000,4.44670000,4.45560000,88982.50000000,1619819099999,398214.53393000,1050,44634.40000000,199798.82451000,0
2021-04-30 23:59:59.999,1619819100000,4.45560000,4.47790000,4.44670000,4.45980000,57775.30000000,1619819999999,257585.45730000,729,19127.30000000,85284.64599000,0
2021-05-01 00:14:59.999,1619820000000,4.45490000,4.47130000,4.34500000,4.35200000,185959.50000000,1619820899999,817968.86408000,1673,107889.30000000,474444.65427000,0
2021-05-01 00:29:59.999,1619820900000,4.35230000,4.47800000,4.32020000,4.47800000,78885.50000000,1619821799999,344835.29885000,1203,37902.50000000,165719.54177000,0
2021-05-01 00:44:59.999,1619821800000,4.46220000,4.48410000,4.37080000,4.40570000,68084.80000000,1619822699999,302280.54994000,933,25074.30000000,111190.22586000,0
2021-05-01 00:59:59.999,1619822700000,4.40570000,4.45950000,4.37080000,4.42470000,39235.10000000,1619823599999,173025.79801000,652,22015.50000000,97156.85343000,0
2021-05-01 01:14:59.999,1619823600000,4.42020000,4.49990000,4.42020000,4.45000000,60684.80000000,1619824499999,271119.94265000,861,20968.50000000,93859.41336000,0
2021-05-01 01:29:59.999,1619824500000,4.44110000,4.46340000,4.39900000,4.43660000,66201.70000000,1619825399999,292899.82153000,706,32929.30000000,145776.69747000,0
2021-05-01 01:44:59.999,1619825400000,4.43660000,4.44390000,4.29220000,4.35200000,142991.30000000,1619826299999,621520.59016000,1808,61878.60000000,268948.21542000,0
2021-05-01 01:59:59.999,1619826300000,4.35200000,4.39300000,4.29790000,4.30260000,88800.30000000,1619827199999,384823.57028000,1271,35399.40000000,153402.44689000,0
2021-05-01 02:14:59.999,1619827200000,4.30740000,4.49000000,4.25000000,4.32450000,195820.60000000,1619828099999,842757.83575000,1622,101516.20000000,438414.12266000,0
2021-05-01 02:29:59.999,1619828100000,4.32420000,4.43000000,4.30010000,4.42570000,168295.10000000,1619828999999,735309.49853000,1355,76907.60000000,335402.44200000,0
2021-05-01 02:44:59.999,1619829000000,4.42570000,4.50000000,4.38460000,4.49890000,158201.10000000,1619829899999,700904.67644000,1817,86983.50000000,386082.02788000,0
2021-05-01 02:59:59.999,1619829900000,4.49900000,4.78960000,4.48510000,4.78680000,437323.00000000,1619830799999,2038474.45283000,3432,187969.20000000,876587.91443000,0
2021-05-01 03:14:59.999,1619830800000,4.78600000,4.82440000,4.55800000,4.56550000,388615.70000000,1619831699999,1829238.33189000,3591,184565.70000000,868137.02601000,0
2021-05-01 03:29:59.999,1619831700000,4.56510000,4.69960000,4.55360000,4.67000000,177153.10000000,1619832599999,818557.91653000,1880,95287.90000000,439876.78786000,0
2021-05-01 03:44:59.999,1619832600000,4.67000000,4.69760000,4.64110000,4.66660000,103292.40000000,1619833499999,481551.39499000,989,37619.50000000,175431.65238000,0
2021-05-01 03:59:59.999,1619833500000,4.64830000,4.67120000,4.57130000,4.57130000,103941.30000000,1619834399999,478932.65669000,1017,47045.60000000,216939.80271000,0
